OSEBuildingID,BuildingType,PrimaryPropertyType,Neighborhood,Latitude,Longitude,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA,ENERGYSTARScore,SiteEnergyUseWN(kBtu),DefaultData,ComplianceStatus,Outlier,TotalGHGEmissions,NaturalGasAvailabe,SteamAvailabe
50005,Multifamily MR (5-9),Mid-Rise Multifamily,NORTHEAST,47.65641,-122.32126,2014,1.0,5,30649,0,30649,Multifamily Housing,24520.0,,,,,100.0,1082892.625,False,Compliant,,34.11,True,False
50006,Multifamily MR (5-9),Mid-Rise Multifamily,BALLARD,47.6704,-122.38277,2014,1.0,6,39286,0,39286,Multifamily Housing,24380.0,,,,,14.0,1449795.375,False,Compliant,,9.71,False,False
50008,Multifamily MR (5-9),Mixed Use Property,EAST,47.61605,-122.3165,2012,1.0,6,158967,0,158967,Multifamily Housing,68575.0,Parking,43408.0,Office,24879.0,55.0,5832666.5,False,Compliant,,123.99,True,False
50009,Multifamily MR (5-9),Mid-Rise Multifamily,NORTHEAST,47.65713,-122.31527,2014,2.0,7,42905,0,42905,Multifamily Housing,31939.0,,,,,95.0,1762563.5,False,Compliant,,33.09,True,False
50011,Multifamily MR (5-9),Mid-Rise Multifamily,EAST,47.61986,-122.32381,2014,1.0,7,85647,0,85647,Multifamily Housing,72528.0,Parking,13119.0,,,7.0,4272179.5,False,Compliant,,64.39,True,False
50013,Multifamily LR (1-4),Senior Care Community,SOUTHEAST,47.57113,-122.29048,2014,1.0,4,45892,0,45892,Senior Care Community,45892.0,,,,,99.0,2000258.625,False,Compliant,,30.41,True,False
50014,Multifamily HR (10+),High-Rise Multifamily,DOWNTOWN,47.61324000000001,-122.33223,2014,1.0,41,499477,0,499477,Multifamily Housing,307810.0,Parking,100000.0,,,40.0,0.0,False,Compliant,,622.23,True,False
50015,Multifamily MR (5-9),Mid-Rise Multifamily,NORTHEAST,47.69087,-122.30629,2014,1.0,6,26198,0,26198,Multifamily Housing,16550.0,,,,,100.0,1132967.5,False,Compliant,,40.99,True,False
50016,Multifamily MR (5-9),Mid-Rise Multifamily,BALLARD,47.66895,-122.38881,2014,1.0,7,418285,0,418285,Multifamily Housing,418277.0,Parking,127633.0,,,100.0,8374301.0,False,Compliant,,172.46,True,False
50017,Multifamily MR (5-9),Mid-Rise Multifamily,MAGNOLIA / QUEEN ANNE,47.62366,-122.3603,2014,1.0,5,70191,0,70191,Multifamily Housing,70191.0,Parking,26287.0,,,98.0,2178109.0,False,Compliant,,49.89,True,False
50018,Multifamily MR (5-9),Mid-Rise Multifamily,NORTHEAST,47.66224,-122.31989,2014,1.0,7,82087,0,82087,Multifamily Housing,82087.0,Parking,25194.0,,,100.0,1803577.0,False,Compliant,,12.18,False,False
50019,Multifamily MR (5-9),Mid-Rise Multifamily,MAGNOLIA / QUEEN ANNE,47.6213,-122.35622,2014,1.0,8,31990,0,31990,Multifamily Housing,31990.0,,,,,98.0,1122836.25,False,Compliant,,27.71,True,False
50021,Multifamily MR (5-9),Mid-Rise Multifamily,EAST,47.62266,-122.32501,2015,1.0,7,33625,0,33625,Multifamily Housing,33753.0,,,,,97.0,1031302.188,False,Compliant,,22.5,True,False
50022,Multifamily MR (5-9),Mid-Rise Multifamily,EAST,47.62301,-122.32337,2015,1.0,5,22455,0,22455,Multifamily Housing,21600.0,,,,,95.0,740374.0,False,Compliant,,4.81,False,False
50023,Multifamily LR (1-4),Low-Rise Multifamily,LAKE UNION,47.65155,-122.34434,2014,1.0,4,182378,0,182378,Multifamily Housing,182378.0,Parking,44800.0,,,100.0,4330775.0,False,Compliant,,115.73,True,False
50024,Multifamily MR (5-9),Mid-Rise Multifamily,NORTH,47.70833,-122.32203,2014,1.0,5,313595,92315,221280,Multifamily Housing,163984.0,Parking,60000.0,,,87.0,7447660.0,False,Compliant,,163.02,True,False
50026,NonResidential,Small- and Mid-Sized Office,EAST,47.61371,-122.31774,2015,1.0,5,37873,0,37873,Office,25927.0,Parking,5834.0,Multifamily Housing,5160.0,,2346692.5,False,Compliant,,65.01,True,False
50027,Multifamily MR (5-9),Mid-Rise Multifamily,EAST,47.61932,-122.32184,2014,1.0,7,62049,0,62049,Multifamily Housing,30480.0,Parking,16810.0,,,91.0,1061854.75,False,Compliant,,9.0,True,False
50028,Multifamily LR (1-4),Low-Rise Multifamily,EAST,47.61975,-122.31467,2014,1.0,4,43566,0,43566,Multifamily Housing,43566.0,Parking,8602.0,,,62.0,1217590.75,False,Compliant,,8.11,False,False
50029,Multifamily HR (10+),High-Rise Multifamily,DOWNTOWN,47.61428,-122.35056000000002,2014,1.0,12,123686,0,123686,Multifamily Housing,152301.0,Parking,0.0,,,77.0,4573978.0,False,Compliant,,86.99,True,False
50030,Multifamily MR (5-9),Mid-Rise Multifamily,SOUTHEAST,47.55926,-122.28654,2015,1.0,6,283479,0,283479,Multifamily Housing,165828.0,Parking,86340.0,,,100.0,6930938.5,False,Compliant,,238.78,True,False
50031,NonResidential,Large Office,MAGNOLIA / QUEEN ANNE,47.62906,-122.34259,2015,1.0,10,513816,0,513816,Office,359040.0,Parking,151658.0,Restaurant,1087.0,,18760766.0,False,Compliant,,214.19,True,False
50033,Multifamily MR (5-9),Mid-Rise Multifamily,LAKE UNION,47.62001,-122.34196,2014,1.0,6,81993,0,81993,Multifamily Housing,63596.0,Office,6354.0,,,84.0,2615580.0,False,Compliant,,63.87,True,False
50035,NonResidential,Hotel,DOWNTOWN,47.61665,-122.33261,2015,1.0,14,144614,0,144614,Hotel,159500.0,,,,,89.0,5547964.5,False,Compliant,,50.32,True,False
50037,NonResidential,Large Office,LAKE UNION,47.62146,-122.33976,2014,1.0,12,480702,163260,317442,Office,341897.0,Parking,136594.0,,,99.0,12926544.0,False,Compliant,,147.14,True,False
50038,NonResidential,Mixed Use Property,MAGNOLIA / QUEEN ANNE,47.66144,-122.38723,2014,1.0,2,25532,0,25532,Office,11745.0,"Repair Services (Vehicle, Shoe, Locksmith, etc)",11745.0,,,,670291.0,False,Compliant,,4.38,False,False
50039,NonResidential,Other,GREATER DUWAMISH,47.58542,-122.32185,2015,1.0,2,108036,0,108036,Parking,202171.0,Automobile Dealership,108036.0,,,,5298717.5,False,Compliant,,91.98,True,False
50044,Multifamily MR (5-9),Mid-Rise Multifamily,SOUTHWEST,47.56081,-122.38589,2015,2.0,6,271922,75134,196788,Multifamily Housing,181589.0,Parking,70493.0,,,87.0,0.0,False,Compliant,,205.45,True,False
50045,NonResidential,Large Office,LAKE UNION,47.62263,-122.33976,2015,1.0,12,483397,166208,317189,Office,342173.0,Parking,147597.0,,,98.0,14409447.0,False,Compliant,,202.12,True,False
50046,Multifamily MR (5-9),Mid-Rise Multifamily,LAKE UNION,47.62383,-122.33143,2014,1.0,8,110964,0,110964,Multifamily Housing,104384.0,Parking,27261.0,,,98.0,3274963.75,False,Compliant,,74.88,True,False
50047,Multifamily MR (5-9),Mid-Rise Multifamily,BALLARD,47.66786,-122.38112,2014,2.0,7,318835,0,318835,Multifamily Housing,236227.0,Parking,82608.0,,,100.0,7355683.0,False,Compliant,,165.61,True,False
50049,Multifamily LR (1-4),Low-Rise Multifamily,DOWNTOWN,47.5998,-122.32034,2000,1.0,4,44650,0,44650,Multifamily Housing,44650.0,,,,,58.0,1305528.375,False,Compliant,,8.7,False,False
50050,Multifamily MR (5-9),Mid-Rise Multifamily,EAST,47.61508,-122.32243,2015,1.0,7,92208,11837,80371,Multifamily Housing,82208.0,Retail Store,10000.0,Parking,9000.0,100.0,2015280.125,False,Compliant,,40.25,True,False
50054,Nonresidential COS,Large Office,LAKE UNION,47.62251,-122.3339,2014,1.0,13,536697,197659,339038,Office,342838.0,Parking,202178.0,Retail Store,6313.200195,98.0,14037166.0,False,Compliant,,245.16,True,False
50055,Multifamily MR (5-9),Mid-Rise Multifamily,NORTHEAST,47.65756,-122.31584,2014,2.0,7,42393,0,42393,Multifamily Housing,31748.0,,,,,96.0,1736628.5,False,Compliant,,31.46,True,False
50056,Multifamily MR (5-9),Mid-Rise Multifamily,EAST,47.60246,-122.31771,2015,1.0,6,128460,0,128460,Multifamily Housing,128460.0,,,,,99.0,2127077.25,False,Compliant,,14.83,False,False
50083,Multifamily MR (5-9),Mid-Rise Multifamily,LAKE UNION,47.66111,-122.34106,2015,1.0,5,175844,52045,123799,Multifamily Housing,99554.0,Parking,24000.0,,,99.0,3271013.0,False,Compliant,,71.96,True,False
50057,Multifamily HR (10+),High-Rise Multifamily,DOWNTOWN,47.61652,-122.33735,2015,1.0,40,319481,41915,277566,Multifamily Housing,308680.0,Other - Lodging/Residential,52538.0,Parking,35180.0,,15404161.0,False,Compliant,,395.26,True,False
50058,Multifamily LR (1-4),Low-Rise Multifamily,NORTHEAST,47.68437,-122.28706,1981,1.0,3,48230,0,48230,Multifamily Housing,26175.0,Parking,16425.0,,,80.0,828388.6875,False,Compliant,,5.46,False,False
50059,Multifamily LR (1-4),Low-Rise Multifamily,NORTHEAST,47.6843,-122.28772,1981,1.0,4,53100,0,53100,Multifamily Housing,32007.0,Parking,20754.0,,,70.0,1024886.688,False,Compliant,,6.74,False,False
